model,quant,rank_score,F1,precision,recall,false_accept,false_reject,FRR_equiv,ROC_AUC,PR_AUC,ECE,Brier,flip_rate,FAR_run_std,field_recall,schema_conf,guided_interv,unusable,lat_p50_s,req_per_s,peak_gpu_MiB
gemma4-e4b,none,1.268,"0.962 [0.954,0.969]","0.978 [0.968,0.985]","0.946 [0.934,0.958]","5.361 [4.188,6.617]%","3.250 [2.111,4.563]%",2.789%,"0.958 [0.949,0.966]","0.958 [0.949,0.967]",0.007,0.044,0.150%,0.10%,0.818,99.950%,100.000%,0.050%,0.48±0.00,45.7±0.4,68138±1093
qwen3-8b,none,0.459,"0.833 [0.815,0.850]","0.997 [0.993,1.000]","0.715 [0.689,0.741]","28.472 [25.889,31.105]%","0.333 [0.000,0.725]%",0.199%,"0.865 [0.853,0.877]","0.890 [0.878,0.900]",0.161,0.188,0.200%,0.04%,0.916,96.733%,100.000%,3.267%,0.41±0.02,42.5±0.7,78536±456
qwen3-4b-2507,none,0.45,"0.802 [0.785,0.818]","0.707 [0.683,0.730]","0.927 [0.913,0.942]","7.250 [5.800,8.728]%","57.708 [54.384,61.090]%",51.726%,"0.832 [0.817,0.847]","0.845 [0.829,0.860]",0.158,0.174,0.050%,0.00%,0.925,88.400%,100.000%,11.600%,0.70±0.01,24.6±0.1,74401±161
qwen3-4b,none,0.314,"0.791 [0.773,0.809]","0.822 [0.799,0.846]","0.761 [0.739,0.785]","23.861 [21.458,26.085]%","24.708 [21.632,27.668]%",22.244%,"0.791 [0.774,0.810]","0.802 [0.780,0.824]",0.201,0.222,0.350%,0.04%,0.948,97.283%,100.000%,2.717%,0.59±0.00,40.0±0.5,76723±189
phi4-mini,none,0.25,"0.750 [0.733,0.766]","0.600 [0.578,0.621]","1.000 [1.000,1.000]","0.000 [0.000,0.000]%","100.000 [100.000,100.000]%",100.000%,"0.475 [0.462,0.488]","0.585 [0.563,0.606]",0.049,0.257,0.000%,0.00%,0.823,100.000%,100.000%,0.000%,0.47±0.01,46.0±0.1,78225±213
gemma4-e2b,none,0.198,"0.772 [0.753,0.792]","0.862 [0.839,0.884]","0.699 [0.673,0.725]","30.083 [27.518,32.710]%","16.750 [14.211,19.244]%",14.343%,"0.769 [0.751,0.788]","0.788 [0.767,0.809]",0.247,0.247,0.650%,0.07%,0.750,99.117%,100.000%,0.883%,0.29±0.00,48.5±0.4,64855±844
smollm3-3b,none,-1.356,"0.404 [0.371,0.435]","0.913 [0.879,0.941]","0.259 [0.234,0.284]","74.056 [71.553,76.564]%","3.708 [2.487,5.179]%",1.992%,"0.610 [0.594,0.624]","0.676 [0.651,0.697]",0.567,0.567,0.450%,0.10%,0.810,99.650%,100.000%,0.350%,0.14±0.00,107.6±1.5,74251±8
qwen3-1.7b,none,-2.359,"0.056 [0.038,0.075]","1.000 [1.000,1.000]","0.029 [0.019,0.039]","97.139 [96.111,98.055]%","0.000 [0.000,0.000]%",0.000%,"0.561 [0.550,0.571]","0.646 [0.624,0.667]",0.583,0.583,0.150%,0.04%,0.917,99.867%,100.000%,0.133%,0.09±0.00,138.4±7.9,75942±66
