model,added_merchant,combined,dropped_category,dropped_merchant,narrowed_time_window,overpermissive_merchants,swapped_currency,widened_time_window,wrong_amount,wrong_period
gemma4-e4b,100.0±0.0%,96.7±0.0%,90.8±0.0%,99.2±0.0%,91.1±0.4%,94.2±0.0%,100.0±0.0%,77.8±0.8%,100.0±0.0%,96.7±0.0%
qwen3-8b,100.0±0.0%,90.8±0.0%,35.3±0.4%,88.3±0.0%,55.8±0.0%,70.0±0.0%,97.5±0.0%,1.7±0.0%,95.0±0.0%,80.8±0.0%
qwen3-4b-2507,100.0±0.0%,97.5±0.0%,80.8±0.0%,98.3±0.0%,96.7±0.0%,82.5±0.0%,100.0±0.0%,81.7±0.0%,100.0±0.0%,90.0±0.0%
qwen3-4b,100.0±0.0%,94.2±0.0%,38.3±0.0%,68.1±0.4%,85.8±0.0%,40.8±0.0%,88.3±0.0%,65.8±0.0%,95.0±0.0%,85.0±0.0%
phi4-mini,100.0±0.0%,100.0±0.0%,100.0±0.0%,100.0±0.0%,100.0±0.0%,100.0±0.0%,100.0±0.0%,100.0±0.0%,100.0±0.0%,100.0±0.0%
gemma4-e2b,100.0±0.0%,90.0±0.0%,20.6±0.4%,52.2±0.4%,73.3±0.0%,51.7±0.0%,100.0±0.0%,20.8±0.0%,100.0±0.0%,90.6±0.4%
smollm3-3b,63.9±1.4%,50.8±0.0%,5.6±0.4%,12.8±0.4%,36.7±0.0%,1.7±0.0%,8.9±0.4%,5.8±0.0%,70.0±0.0%,3.3±0.0%
qwen3-1.7b,6.4±0.4%,11.4±0.4%,0.0±0.0%,0.0±0.0%,2.5±0.0%,0.0±0.0%,2.5±0.0%,0.0±0.0%,5.0±0.0%,0.8±0.0%
